"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00518386","PUUKAPU HOMESTEAD 192.9, HI US","20.0375","-155.6347","916.2","2020",,,,,,,,,"2.60"," ,7,0211, ",,,,,"52.73"," ,7",,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020",,,,,,,,,"2.00"," ,7,0104, ",,,,,"55.85"," ,7",,,,,,,,
"USR0000HSCO","SCHOFIELD BARRACKS HAWAII, HI US","21.495","-158.0819","298.7","2020","2603",,,,"54","U,0128,+",,,,,"88","U,1001,+","1","8",,,,,"72.1","U","79.6","U","64.7","U"
"USC00519315","WAIHEE VLY 482, HI US","20.9414","-156.5248","103.6","2020",,,,,,,,,,,,,,,"36.33"," ,7",,,,,,,,
"US1HIHI0012","NAALEHU 5.7 W, HI US","19.073249","-155.663229","678.8","2020",,,,,,,,,"3.20"," ,N,0318, ",,,,,"63.48"," ,N",,,,,,,,
"USR0000HPAL","PALI 2 HAWAII, HI US","19.3175","-155.2922","847.3","2020","1325",,,,"51","U,0208, ",,,,,"87","U,0824, ","115","8",,,,,"68.3","U","75.6","U","61.0","U"
"USC00513376","KAPUA 2.36, HI US","19.1445","-155.8494","533.4","2020",,,,,,,,,"2.97"," ,7,0112, ",,,,,"40.15"," ,7",,,,,,,,
"USW00022551","EWA KALAELOA AIRPORT, HI US","21.31667","-158.06667","16.5","2020",,,,,,,,,,,,,,,,,,,,,,,,
"USR0000HLAN","LANAI 1 HAWAII, HI US","20.8733","-157.0064","387.1","2020","2807",,,,"58","U,0210, ",,,,,"84","U,0930, ","4","2",,,,,"72.6","U","77.4","U","67.9","U"
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","19.5021","-155.029","339.9","2020",,,,,,,,,"8.92"," ,N,0303, ",,,,,"181.43"," ,N",,,,,,,,
"US1HIHI0050","PAAUILO 2.4 SW, HI US","20.019048","-155.398803","613.0","2020",,,,,,,,,"6.31"," ,N,0112, ",,,,,"84.32"," ,N",,,,,,,,
"US1HIHI0051","PAHOA 2.7 SSE, HI US","19.465433","-154.927051","259.4","2020",,,,,,,,,"5.70"," ,N,0405, ",,,,,"139.61"," ,N",,,,,,,,
"USC00510211","BERETANIA PUMP STATION 705, HI US","21.3061","-157.853","6.1","2020",,,,,,,,,"1.94"," ,7,0317, ",,,,,"21.30"," ,7",,,,,,,,
"USC00517724","PAPAIKOU MAUKA NUMBER 2 140.4, HI US","19.7923","-155.1142","207.3","2020",,,,,,,,,"5.48"," ,7,1126, ",,,,,"149.59"," ,7",,,,,,,,
"USC00517209","PAAUHAU MAUKA 217.2, HI US","20.0699","-155.4444","341.4","2020",,,,,,,,,,,,,,,"61.11"," ,7",,,,,,,,
"USR0000HMLK","MOLOKAI 1 HAWAII, HI US","21.115","-156.9475","833.0","2020","1343",,,,"51","U,0210, ",,,,,"86","U,0927, ","122","0",,,,,"68.3","U","74.8","U","61.8","U"
"USC00516395","MOANALUA 770, HI US","21.3479","-157.891","9.8","2020",,,,,,,,,,,,,,,"27.88"," ,7",,,,,,,,
"USC00516198","MAUNA LOA SLOPE OBS 39, HI US","19.5362","-155.5767","3398.5","2020",,,,,,,,,,,,,,,"15.34"," ,7",,,,,,,,
"US1HIKI0009","LIHUE 1.3 NE, HI US","21.987","-159.338","25.0","2020",,,,,,,,,"6.22"," ,N,0328, ",,,,,"52.38"," ,N",,,,,,,,
"USC00518652","SOUTH KONA 2 2.32, HI US","19.0826","-155.7532","646.5","2020",,,,,,,,,"2.78"," ,7,0112, ",,,,,"25.31"," ,7",,,,,,,,
"US1HIHI0006","KALAOA 1.7 E, HI US","19.723841","-155.992608","304.5","2020",,,,,,,,,"3.40"," ,N,0706, ",,,,,"38.43"," ,N",,,,,,,,
"USC00512595","KAHUNA FALLS 138.2, HI US","19.85833","-155.16064","420.6","2020",,,,,,,,,"5.60"," ,7,1123, ",,,,,"176.41"," ,7",,,,,,,,
"USW00021510","KAILUA KONA KE AHOLE AIRPORT, HI US","19.73556","-156.04889","13.1","2020",,,,,,,,,,,,,"0","0",,,,,,,,,,
"US1HIHI0003","PAHOA 2.1 E, HI US","19.50434","-154.9165","137.2","2020",,,,,,,,,"3.87"," ,N,0405, ",,,,,"137.42"," ,N",,,,,,,,
"USC00519980","WILHELMINA RISE 721, HI US","21.2982","-157.7852","335.3","2020",,,,,,,,,"1.66"," ,7,1226, ",,,,,"31.40"," ,7",,,,,,,,
"USC00519185","WAIALAE KAHALA 715, HI US","21.2733","-157.7803","3.0","2020",,,,,,,,,"1.40"," ,7,0414, ",,,,,"20.14"," ,7",,,,,,,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","21.324","-157.9294","2.1","2020","5098",,,,"60","W,0208, ",,,"2.42"," ,W,0317, ","93","W,0929, ","0","0","13.71"," ,W",,,"78.9","W","85.5","W","72.4","W"
"US1HIKI0005","KAPAA 1.4 W, HI US","22.093611","-159.375833","138.7","2020",,,,,,,,,"6.40"," ,N,0328, ",,,,,"103.92"," ,N",,,,,,,,
"USR0000HHAK","HAKALAU HAWAII, HI US","19.8211","-155.3306","1950.7","2020","0",,,,"31","U,0208, ",,,,,"76","U,1206,+","3801","8",,,,,"54.1","U","65.4","U","42.9","U"
"USR0000HPUW","PUU WAAWAA HAWAII, HI US","19.795","-155.8453","709.0","2020","1293",,,,"52","U,0209,+",,,,,"84","U,0924, ","44","4",,,,,"68.4","U","76.4","U","60.5","U"
"USC00513317","KAPALUA W. MAUI AIRPORT 462.4, HI US","20.9625","-156.6753","73.2","2020",,,,,,,,,,,,,,,"20.16"," ,7",,,,,,,,
"USC00510123","AIEA HEIGHTS 764.6, HI US","21.3948","-157.9101","237.7","2020",,,,,,,,,"2.41"," ,7,0112, ",,,,,"51.89"," ,7",,,,,,,,
"USW00022516","KAHULUI AIRPORT, HI US","20.89972","-156.42861","15.5","2020","4973",,,,"55","W,0208,+",,,"1.68"," ,W,0406, ","96","W,1105,+","0","0","11.43"," ,W",,,"78.6","W","87.6","W","69.5","W"
"US1HIHN0010","HONOLULU 2.7 SSE, HI US","21.284986","-157.781579","112.5","2020",,,,,,,,,"1.84"," ,N,0414, ",,,,,"26.09"," ,N",,,,,,,,
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","2020","4314",,,,"59","W,0208, ",,,"9.16"," ,W,0303, ","93","W,0726, ","0","0","121.50"," ,W",,,"76.8","W","84.0","W","69.5","W"
"USC00512982","KALOPA 216.8, HI US","20.0579","-155.432","396.2","2020",,,,,,,,,"5.36"," ,7,0413, ",,,,,"73.39"," ,7",,,,,,,,
"USC00514765","KONA VILLAGE 93.8, HI US","19.8187","-155.9891","21.3","2020",,,,,,,,,"1.50"," ,7,0514, ",,,,,"12.33"," ,7",,,,,,,,
"US1HIHN0014","AIEA 0.7 ENE, HI US","21.3930397033691","-157.918579101563","175.0","2020",,,,,,,,,"3.11"," ,N,0112, ",,,,,"45.93"," ,N",,,,,,,,
"USR0000HMOL","MOLOAA DAIRY HAWAII, HI US","22.1833","-159.3375","85.3","2020","3992",,,,"61","U,0311,+",,,,,"89","U,1001,+","0","0",,,,,"75.9","U","81.3","U","70.5","U"
"USC00518407","PUUKOLII 457.1, HI US","20.9285","-156.6735","128.3","2020","3554",,,,"60","7,0311,+",,,"1.29"," ,7,0407, ","88","7,1013,+","0","3","15.65"," ,7",,,"74.8","7","81.6","7","68.0","7"
"USR0000HMRG","MAKUA RIDGE HAWAII, HI US","21.5428","-158.1989","533.4","2020","2613",,,,"55","U,0210, ",,,,,"92","U,1010, ","30","8",,,,,"72.0","U","78.8","U","65.3","U"
"USR0000HWVA","WAIANAE VALLEY HAWAII, HI US","21.4806","-158.1553","291.7","2020","4162",,,,"58","U,0224, ",,,,,"93","U,0825,+","1","8",,,,,"76.4","U","83.8","U","69.0","U"
"USC00519376","WAIKAPU 390, HI US","20.8536","-156.5088","147.2","2020",,,,,,,,,,,,,,,"14.67"," ,7",,,,,,,,
"US1HIHI0039","HILO 0.4 SW, HI US","19.692011","-155.092517","107.0","2020",,,,,,,,,"7.69"," ,N,0924, ",,,,,"150.84"," ,N",,,,,,,,
"USC00517312","PAAUILO 221, HI US","20.04005","-155.37239","256.0","2020","949",,,,"46","7,0602, ",,,"4.74"," ,7,0413, ","87","7,1019, ","83","2","63.39"," ,7",,,"67.4","7","80.9","7","53.8","7"
"USR0000HMAR","MAKUA RANGE HAWAII, HI US","21.5286","-158.2261","6.1","2020","4173",,,,"62","U,1004,+",,,,,"96","U,0713, ",,,,,,,"76.9","U","83.5","U","70.4","U"
"USC00516588","NAALEHU 14, HI US","19.0614","-155.5842","201.2","2020",,,,,,,,,,,,,,,"46.41"," ,7",,,,,,,,
"USC00517711","PAPAIKOU 144.1, HI US","19.7842","-155.0937","61.0","2020",,,,,,,,,,,,,,,"125.63"," ,7",,,,,,,,
"US1HIHI0034","HONOKAA 2.7 ESE, HI US","20.060613","-155.430025","332.8","2020",,,,,,,,,"5.15"," ,N,0413, ",,,,,"68.36"," ,N",,,,,,,,
"USW00022534","MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT, HI US","21.1545","-157.0961","135.0","2020",,,,,,,,,,,,,"0","0",,,,,,,,,,
"US1HIHI0035","HAWAIIAN OCEAN VIEW 4.7 NNE, HI US","19.135","-155.747","1272.5","2020",,,,,,,,,"5.45"," ,N,0112, ",,,,,"42.26"," ,N",,,,,,,,
"USR0000HPTA","PTA EAST HAWAII, HI US","19.6828","-155.5453","1959.9","2020","10",,,,"34","U,0208, ",,,,,"80","U,0502, ","2479","3",,,,,"58.0","U","67.2","U","48.8","U"
"USW00022536","LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US","21.98389","-159.34056","30.5","2020","4471",,,,"58","W,0209, ",,,"5.35"," ,W,0328, ","89","W,1007,+","0","0","43.02"," ,W",,,"77.3","W","82.7","W","71.9","W"
"USR0000HMAK","MAKAPULAPAI HAWAII, HI US","21.2033","-156.9661","22.9","2020","4596",,,,"62","U,0212,+",,,,,"89","U,1025, ",,,,,,,"77.6","U","83.0","U","72.2","U"
"US1HIHI0033","HONOKAA 2.5 SSW, HI US","20.041679","-155.477707","757.4","2020",,,,,,,,,"5.24"," ,N,0110, ",,,,,"77.76"," ,N",,,,,,,,
"USR0000HKAN","KANELOA HAWAII, HI US","20.5222","-156.5658","248.4","2020","3690",,,,"62","U,0211,+",,,,,"87","U,1002, ","0","0",,,,,"75.1","U","79.6","U","70.5","U"
"USR0000HPTW","PTA WEST HAWAII, HI US","19.7717","-155.7022","1307.6","2020","47",,,,"40","U,0208,+",,,,,"79","U,0910, ","1020","7",,,,,"61.8","U","71.8","U","51.9","U"
"USC00514758","KOLOKO RESERVOIR 1137, HI US","22.1903","-159.3847","149.4","2020",,,,,,,,,"10.55"," ,7,0317, ",,,,,"99.24"," ,7",,,,,,,,
"USC00511125","HANA AIRPORT 355, HI US","20.7947","-156.0154","22.9","2020","3648",,,,"57","H,0209, ",,,"8.07"," ,H,0206, ","86","H,1023, ",,,"70.96"," ,H",,,"75.1","H","80.2","H","70.1","H"
"USW00021514","MAUNA LOA 5 NNE, HI US","19.5354","-155.576","3407.4","2020","0",,,,"23","R,0210, ",,,"3.18"," ,R,0112, ","67","R,0501, ","6682","0","15.06"," ,R",,,"46.7","R","54.8","R","38.6","R"
"USW00021515","HILO 5 S, HI US","19.645","-155.0827","189.6","2020","2329",,,,"52","R,0208, ",,,"8.66"," ,R,0303, ","87","R,0726, ","2","1","146.85"," ,R",,,"71.3","R","78.4","R","64.3","R"
"USC00514830","KUALOA RANCH HEADQUARTERS 886.9, HI US","21.52037","-157.83885","14.6","2020",,,,,,,,,,,,,,,"44.15"," ,7",,,,,,,,
"US1HIHN0022","KAILUA 2.2 SSE, HI US","21.372696","-157.724981","38.4","2020",,,,,,,,,"1.55"," ,N,0315, ",,,,,"21.06"," ,N",,,,,,,,
"USC00516933","NUUANU RES 5 775, HI US","21.3387","-157.8367","125.0","2020",,,,,,,,,"2.46"," ,7,0104, ",,,,,"69.95"," ,7",,,,,,,,
"US1HIHN0023","HONOLULU 2.0 SW, HI US","21.300423","-157.829327","11.9","2020",,,,,,,,,"1.82"," ,N,0318, ",,,,,"32.00"," ,N",,,,,,,,
"USR0000HPTK","PTA KIPUKA ALALA HAWAII, HI US","19.6669","-155.7078","1641.3","2020","23",,,,"33","U,0209, ",,,,,"84","U,0808, ","1896","2",,,,,"59.2","U","70.6","U","47.7","U"
"USC00517540","PAIKO DRIVE 723.4, HI US","21.2803","-157.7335","1.5","2020",,,,,,,,,"2.09"," ,7,0430, ",,,,,"24.35"," ,7",,,,,,,,
"USC00515000","KULA BRNCH STATION 324.5, HI US","20.7584","-156.3212","944.9","2020","291",,,,"47","7,0208, ",,,"3.06"," ,7,0316, ","82","7,0817, ","495","1","24.43"," ,7",,,"64.4","7","72.6","7","56.1","7"
"USC00519603","WAIMEA ARBORETUM 892, HI US","21.6369","-158.0536","12.5","2020",,,,,,,,,,,"92","7,1002,+",,,"56.15"," ,7",,,,,"84.0","7",,
"USC00515004","KULA HOSPITAL 267, HI US","20.7009","-156.3562","923.5","2020","123",,,,"46","7,0229, ",,,"2.70"," ,7,1003, ","79","7,0926,+","764","7","27.83"," ,7",,,"63.0","7","71.3","7","54.7","7"
"USC00519523","WAIMANALO EXPERIMENTAL FARM, HI US","21.33556","-157.71139","19.5","2020",,,,,,,,,,,,,,,"27.69"," ,7",,,,,,,,
"US1HIHI0068","KEAAU 5.5 E, HI US","19.613803","-154.955684","18.0","2020",,,,,,,,,"4.50"," ,N,1220, ",,,,,"119.94"," ,N",,,,,,,,
"USC00519281","WAIHEE 837.5, HI US","21.4509","-157.8501","32.9","2020","3879",,,,"56","7,0123, ",,,"6.53"," ,7,0414, ","90","7,1017, ","2","4","64.30"," ,7",,,"75.6","7","81.4","7","69.7","7"
"USC00512802","KAIWIKI HOMESTEAD 89.11, HI US","19.7509","-155.1362","390.1","2020",,,,,,,,,,,,,,,"192.66"," ,7",,,,,,,,
"USR0000HKAH","KAHUKU TRAINING AREA HAWAII, HI US","21.6792","-157.9894","181.7","2020","3930",,,,"61","U,0210,+",,,,,"91","U,1020, ","0","3",,,,,"75.7","U","81.7","U","69.7","U"
"USR0000HMAH","MAKAHA RIDGE HAWAII, HI US","22.1306","-159.7153","545.0","2020","2519",,,,"53","U,0209, ",,,,,"86","U,0830, ",,,,,,,"71.8","U","77.9","U","65.7","U"
"US1HIKI0020","KOLOA 2.1 SSE, HI US","21.878788","-159.451827","12.2","2020",,,,,,,,,"6.33"," ,N,0317, ",,,,,"43.46"," ,N",,,,,,,,
"US1HIMI0002","KAUNAKAKAI 3.5 ESE, HI US","21.068763","-156.962605","13.4","2020",,,,,,,,,"1.50"," ,N,0407, ",,,,,"8.83"," ,N",,,,,,,,
"US1HIKI0021","ANAHOLA 2.8 N, HI US","22.186885","-159.323565","73.8","2020",,,,,,,,,"6.64"," ,N,0317, ",,,,,"65.52"," ,N",,,,,,,,
"USC00516128","MANOA LYON ARBO 785.2, HI US","21.3331","-157.8025","152.4","2020","2955",,,,"56","7,0209, ",,,"4.89"," ,7,0104, ","89","7,0317, ","5","0","141.17"," ,7",,,"73.1","7","78.6","7","67.7","7"
"USR0000HKII","KII HAWAII, HI US","21.6883","-157.9525","1.5","2020","4349",,,,"61","U,0123, ",,,,,"85","U,1018, ","0","0",,,,,"76.9","U","80.6","U","73.1","U"
"USR0000HKMO","KEAUMO HAWAII, HI US","19.4736","-155.3589","1682.5","2020","72",,,,"38","U,0208, ",,,,,"82","U,0808, ","1751","9",,,,,"59.9","U","69.2","U","50.6","U"
"USC00514829","KUALOA RANCH 885.6, HI US","21.5299","-157.8503","24.7","2020",,,,,,,,,,,,,,,"63.37"," ,7",,,,,,,,
"USC00515715","MAHINAHINA 466, HI US","20.9594","-156.6505","256.6","2020",,,,,,,,,"2.12"," ,7,0112, ",,,,,"54.94"," ,7",,,,,,,,
"USC00514828","KUALOA RANCH HAKIPUU 886.11, HI US","21.51083","-157.86222","75.0","2020",,,,,,,,,,,,,,,"77.33"," ,7",,,,,,,,
